City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Alofi,NU,2022-06-09 19:25:06,-19.0595,-169.9187,293.09,100,2,1.03
132,Dalvik,IS,2022-06-09 19:25:08,65.9702,-18.5286,284.11,72,25,3.58
133,Krasnaya Gora,RU,2022-06-09 19:26:09,52.9995,31.6023,291.22,85,77,3.87
134,Ballina,AU,2022-06-09 19:26:09,-28.8667,153.5667,280.25,78,0,3.62
135,Constitucion,CL,2022-06-09 19:26:09,-35.3333,-72.4167,287.86,65,73,5.71
136,Georgetown,MY,2022-06-09 19:26:10,5.4112,100.3354,300.9,91,40,3.6
137,Verkhnyaya Inta,RU,2022-06-09 19:26:10,65.9811,60.3094,289.11,51,29,5.41
138,Buraydah,SA,2022-06-09 19:26:11,26.326,43.975,307.4,6,0,2.45
139,Iraan,US,2022-06-09 19:26:11,30.914,-101.8979,306.56,27,38,3.58
140,Hambantota,LK,2022-06-09 19:26:12,6.1241,81.1185,299.54,85,100,6.99
141,Bandundu,CD,2022-06-09 19:26:12,-3.3167,17.3667,298.68,43,100,1.86
142,Phangnga,TH,2022-06-09 19:26:13,8.4509,98.5298,299.17,93,66,1.47
143,Lagoa,PT,2022-06-09 19:26:13,39.05,-27.9833,289.93,87,98,4.04
144,Arroyo,ES,2022-06-09 19:26:14,41.6096,-4.7969,300.45,35,0,5.14
145,Berlevag,NO,2022-06-09 19:26:14,70.8578,29.0864,280.15,65,75,4.63
146,Drayton Valley,CA,2022-06-09 19:26:14,53.2168,-114.9854,291.45,49,54,2.04
147,Paamiut,GL,2022-06-09 19:26:15,61.994,-49.6678,276.74,79,7,4.86
148,Arrecife,ES,2022-06-09 19:26:15,28.963,-13.5477,295.14,83,20,9.26
149,Dunda,TZ,2022-06-09 19:26:16,-8.1167,34.25,289.89,61,15,1.44
150,Kieta,PG,2022-06-09 19:26:16,-6.2167,155.6333,298.48,84,61,0.22
151,Cruzeiro Do Sul,BR,2022-06-09 19:26:17,-29.5128,-51.9853,296.22,74,8,0.94
152,Avarua,CK,2022-06-09 19:26:17,-21.2078,-159.775,298.18,61,18,2.57
153,Yellowknife,CA,2022-06-09 19:26:17,62.456,-114.3525,294.44,32,40,4.63
154,Pevek,RU,2022-06-09 19:26:18,69.7008,170.3133,276.73,78,15,1.57
155,Hailey,US,2022-06-09 19:26:18,43.5196,-114.3153,296.42,46,40,4.12
156,Luena,AO,2022-06-09 19:26:19,-11.7833,19.9167,286.26,58,5,2.19
157,Klaksvik,FO,2022-06-09 19:26:19,62.2266,-6.589,282.66,92,100,11.92
158,Tezu,IN,2022-06-09 19:26:20,27.9167,96.1667,296.29,98,100,1.33
159,Puri,IN,2022-06-09 19:26:20,19.8,85.85,303.44,91,83,8.2
160,Kaitangata,NZ,2022-06-09 19:26:24,-46.2817,169.8464,277.15,91,40,2.75
161,Yulara,AU,2022-06-09 19:26:24,-25.2406,130.9889,280.98,62,96,4.2
162,Sao Joao Da Barra,BR,2022-06-09 19:25:44,-21.6403,-41.0511,298.2,75,62,5.27
163,Wattegama,LK,2022-06-09 19:26:25,6.7989,81.4808,297.38,85,100,3.07
164,Vanimo,PG,2022-06-09 19:26:25,-2.6741,141.3028,297.3,87,7,1.72
165,Binzhou,CN,2022-06-09 19:26:26,37.3667,118.0167,295.43,69,100,1.47
166,Hithadhoo,MV,2022-06-09 19:26:26,-0.6,73.0833,301.22,74,49,2.87
167,Nador,MA,2022-06-09 19:26:27,35.174,-2.9287,298.19,83,75,2.57
168,Fortuna,US,2022-06-09 19:26:27,40.5982,-124.1573,297.0,45,0,0.45
169,Lufilufi,WS,2022-06-09 19:26:28,-13.8745,-171.5986,297.03,76,24,6.24
170,Luderitz,NA,2022-06-09 19:26:28,-26.6481,15.1594,293.41,38,4,2.96
171,Tiksi,RU,2022-06-09 19:26:29,71.6872,128.8694,277.51,77,0,3.06
